album,artist,role,contribution
Hashin It Out,Ryan Rapsys,Band Member,Vocals, Samples, Bass, Guitar, Percussion, Drums, Sleigh Bells, Keyboards, Programming, Piano, Synthesizers, Handclaps, Clavinet
Hashin It Out,Nick Macri,Band Member,Bass, Alto Saxophone, Bass VI, Handclaps
Hashin It Out,LeRoy Bach,Guest Musician,Baritone Saxophone6)
Hashin It Out,Dan Bitney,Guest Musician,Conga6)
Hashin It Out,Dan Fliegel,Guest Musician,Talking Drum6)
Hashin It Out,Kurt Niesman,Guest Musician,Percussion11, 13 Farfisa13)
Looks at the Bird,Douglas McCombs,Band Member,Bass 6, Guitar, String Arrangements
Looks at the Bird,Noel Kupersmith,Band Member,Double Bass, Sequencing, Editing, Marimba Loop, Vibes, Organ, Electric Bass, String Arrangements
Looks at the Bird,Rob Mazurek,Guest Musician,Cornet2, 9)
Looks at the Bird,Mary Hansen,Guest Musician,Vocals3, 5, 9)
Looks at the Bird,Laetitia Sadier,Guest Musician,Vocals3)
Looks at the Bird,Aki Tsuyuko,Guest Musician,Fluteorgan5, 6 Reed Organ9)
Looks at the Bird,John McEntire,Guest Musician,Organ4 Drums7 Percussion7 String Arrangements
Looks at the Bird,Chad Taylor,Guest Musician,Drums4, 5)
Looks at the Bird,Casey Rice,Production or Other,Mixing8)
Looks at the Bird,Eric Claridge,Production or Other,Paintings
Field Recordings from the Cook County Water Table,Douglas McCombs,Band Member,Bass 6, Acoustic Bass, Lap Steel, Rhodes Loop, Rhodes Piano, Whistling
Field Recordings from the Cook County Water Table,Joshua Abrams,Guest Musician,Double Bass1)
Field Recordings from the Cook County Water Table,Noel Kupersmith,Guest Musician,Double Bass1, 7, 8, 9, 11)
Field Recordings from the Cook County Water Table,Rob Mazurek,Guest Musician,Cornet1)
Field Recordings from the Cook County Water Table,John McEntire,Guest Musician,Shaker3, 7, 11 Arp 26003 Traingle9, 11 Trap Kit10)
Field Recordings from the Cook County Water Table,John Herndon,Guest Musician,Trap Kit5)
Field Recordings from the Cook County Water Table,Mary Hansen,Guest Musician,Vocals11)
Viewfinder,Chris Brokaw,Band Member,Nylon String Guitar, Electric Guitar, Slide Guitar, Electric Bass Guitar, Percussion, Whistling
Viewfinder,Ken Brown (Bundy K.),Band Member,Acoustic Guitar, Electric Guitar, E-Bow
Viewfinder,Curtis Harvey,Band Member,Acoustic Guitar, Electric Guitar, Electric Bass Guitar, Bazouki, Fender Bass VI, Accordion, Mountain Dulcimer
Viewfinder,Douglas McCombs,Band Member,Acoustic Guitar, Electric Guitar, Double Bass, Nylon String Guitar, Electric Guitar, Clavioline, Dobro, Lap Steel
Viewfinder,Tim Barnes,Band Member,Drum Kit, Percussion, Sea Shanty
Turnstyles & Junkpiles,Chris Brokaw,Band Member,None specified
Turnstyles & Junkpiles,Ken Brown (Bundy K.),Band Member,None specified
Turnstyles & Junkpiles,Curtis Harvey,Band Member,None specified
Turnstyles & Junkpiles,Douglas McCombs,Band Member,None specified
Turnstyles & Junkpiles,David Christian Pajo,Guest Musician,None specified5)
Antlers: Live 1991,David Grubbs,Band Member,Guitar
Antlers: Live 1991,Ken Brown (Bundy K.),Band Member,Bass
Antlers: Live 1991,John McEntire,Band Member,Drums
Bumps,John McEntire,Band Member,None specified
Bumps,John Herndon,Band Member,None specified
Bumps,Dan Bitney,Band Member,None specified
5ive Style,Bill Dolan,Band Member,Guitar
5ive Style,John Herndon,Band Member,Drums
5ive Style,LeRoy Bach,Band Member,Bass, Keys, Rhythm Guitar
5ive Style,Jeremy Jacobsen,Band Member,Keys
5ive Style,John McEntire,Production or Other,Recording, Mixing
5ive Style,Casey Rice,Production or Other,Recording, Mixing
5ive Style,Dan Bitney,Guest Musician,Percussion7)
Miniature Portraits,Jeremy Jacobsen,Band Member,Acoustic Guitar, Marimba, Piano, Organ, Electric Piano, Melodica, Electric Guitar, Steel Drum, Ensoniqs Science Lab, Bass, Percussion, Macintosh Powerbook, Electric Piano, Synthesizer
Miniature Portraits,Bill Dolan,Band Member,Electric Guitar
Miniature Portraits,John Herndon,Band Member,Drums, Congas, Drum Programming
Miniature Portraits,LeRoy Bach,Band Member,Bass, Electric Guitar, Electric Piano, Clavinet
Miniature Portraits,Mike Hagler,Production or Other,Recording
Bad Timing,Jim O'Rourke,Band Member,None specified
Bad Timing,Darin Gray,Guest Musician,Bass
Bad Timing,Ken Champion,Guest Musician,Pedal Steel
Bad Timing,Joan Morrane,Guest Musician,French Horn
Bad Timing,Jeb Bishop,Guest Musician,Trombone
Bad Timing,John McEntire,Guest Musician,Drums
Bad Timing,Thymme Jones,Guest Musician,Trumpet
Bad Timing,Maureen Loughnane,Guest Musician,Violin
Eureka,Jim O'Rourke,Band Member,Guitar, Bass, Rhodes, Lap Steel, Synthesizers, Piano, Bells, Vocals, Hammond, Organ
Eureka,Tim Barnes,Guest Musician,Percussion1, 2, 5)
Eureka,Brian Calvin,Guest Musician,Backing Vocals1)
Eureka,Glenn Kotche,Guest Musician,Drums1, 2, 5, 6, 8 Percussion3)
Eureka,Fred Lonberg-Holm,Guest Musician,Cello1, 4, 5)
Eureka,Maureen Loughnane,Guest Musician,Backing Vocals1)
Eureka,Jennifer Peterson,Guest Musician,Backing Vocals1)
Eureka,Julie Pomerleau,Guest Musician,Violin1, 3, 4, 6 Viola1, 4, 6)
Eureka,Richard Skabbs,Guest Musician,Organ1)
Eureka,Jeff Stafford,Guest Musician,Backing Vocals1)
Eureka,Ken Champion,Guest Musician,Piano2, 5, 8 Pedal Steel2, 5, 8)
Eureka,Darin Gray,Guest Musician,Bass2, 5, 8)
Eureka,Joan Morrane,Guest Musician,French Horn2, 5, 8)
Eureka,Jeb Bishop,Guest Musician,Trombone3, 6, 7)
Eureka,Rob Mazurek,Guest Musician,Cornet3, 6)
Eureka,Robert Weston IV (Bob Weston),Guest Musician,Trumpet3, 7)
Eureka,Steve Butters,Guest Musician,Steel Pans4)
Eureka,Mike Colligan,Guest Musician,Clarinet4)
Eureka,Rian Murphy,Guest Musician,Drums4)
Eureka,Ken Vandermark,Band Member,Saxophone4)
Eureka,Edith Frost,Guest Musician,Backing Vocals6)
Eureka,Teria Garteris,Guest Musician,Backing Vocals6)
Halfway to a Threeway,Jim O'Rourke,Band Member,Guitar, Piano, Vocals, Percussion, Bass, Organ
Halfway to a Threeway,Darin Gray,Guest Musician,Bass1, 2, 3)
Halfway to a Threeway,Glenn Kotche,Guest Musician,Drums1, 3)
Halfway to a Threeway,Frank Navin,Guest Musician,Vocals1)
Halfway to a Threeway,Tim Barnes,Guest Musician,Drums2)
Halfway to a Threeway,Rob Mazurek,Guest Musician,Cornet2, 3)
Halfway to a Threeway,Sam Prekop,Guest Musician,Vocals3)
Halfway to a Threeway,Archer Prewitt,Guest Musician,Vocals3)
Halfway to a Threeway,Jeremy Lemos,Production or Other,Engineering
Live from a Shark Cage,David Christian Pajo,Band Member,None specified
Live from a Shark Cage,Tim Gane,Production or Other,Recording8)
Live from a Shark Cage,Steve Albini,Production or Other,Recording5)
Live from a Shark Cage,Nat Gleason,Production or Other,Recording2)
Insignificance,Jim O'Rourke,Band Member,None specified
Insignificance,Tim Barnes,Guest Musician,Drums1, 3, 4, 6, 7)
Insignificance,Darin Gray,Guest Musician,Bass1, 3, 4, 6, 7)
Insignificance,Glenn Kotche,Guest Musician,Drums1, 2, 3, 4, 5, 6, 7 Vibes5)
Insignificance,Rob Mazurek,Guest Musician,Cornet1, 4, 6)
Insignificance,Jeff Tweedy,Guest Musician,Harmonica1 Guitar3, 4, 6)
Insignificance,Ken Vandermark,Guest Musician,Saxophones3)
Insignificance,Ken Champion,Guest Musician,Pedal Steel5, 7)
Insignificance,Jeremy Lemos,Production or Other,Recording
Insignificance,Kris Poulin,Production or Other,Recording
‘Whatever, Mortal’,David Christian Pajo,Band Member,Electric Guitars, Acoustic Guitars, Piano, Melodica, Bass, Drums, Keyboards, Vocals, Backing Vocals, Banjo, Sitar, Car Keys, Dog Tags, Harmonica, Wood Floor, Percussion
‘Whatever, Mortal’,Will Oldham,Guest Musician,Bass, Piano, Electric Guitar, Backing Vocals
‘Whatever, Mortal’,Tara Jane ONeil (Tara ONeil),Guest Musician,Banjo, Acoustic Guitar
‘Whatever, Mortal’,Britt Walford,Guest Musician,Drums2)
Hole of Burning Alms,David Christian Pajo,Band Member,Guitar, Bass
Hole of Burning Alms,Cassie Marrett,Guest Musician,Bass2, 4)
Hole of Burning Alms,Ray Rizzo,Guest Musician,Drums2, 3)
Hole of Burning Alms,Andy Willis,Guest Musician,Guitar2)
Hole of Burning Alms,Tony Bailey,Guest Musician,Drums4, 11)
Hole of Burning Alms,Tim Furnish,Guest Musician,Guitar4)
Hole of Burning Alms,Todd Cook,Guest Musician,Bass11)
Hole of Burning Alms,Alan Licht,Guest Musician,Guitar11)
1968,David Christian Pajo,Band Member,None specified
Speckly,Sam Prekop,Band Member,None specified
Speckly,David Kroll,Band Member,None specified
Speckly,Ian Schneller,Band Member,None specified
Speckly,Eric Claridge,Band Member,None specified
Speckly,Brad Wood,Production or Other,Engineering, Mixing
Speckly,Brian Deck,Production or Other,Engineering
Cavale,Sam Prekop,Band Member,Vocals, Guitar, Solo Guitar, Bass
Cavale,Ian Schneller,Band Member,Guitar, Bottles, Vocals, Drums, Solo Guitar
Cavale,David Kroll,Band Member,Bass, Tenor Saxophone
Cavale,Eric Claridge,Guest Musician,Bass5, 7 Telephone from Memphis
Cavale,Brad Wood,Band Member,Drums, Bass, Vocals, Soprano Saxophone, Alto Saxophone, Engineering, Mixing
Cavale,Casey Rice,Production or Other,Engineering5, 7 Mixing5, 7)
Cavale,Joe Vajarsky,Guest Musician,Tenor Saxophone5, 7)
Surfer Rosa,Charles Thompson IV (Frank Black),Band Member,Guitar, vocals, music & lyrics
Surfer Rosa,Kimberly Ann Deal (Kim Deal),Band Member,Bass guitar, backing vocalsvocals, credited as Mrs. John Murphy)
Surfer Rosa,Joey Santiago,Band Member,Lead Guitar
Surfer Rosa,David Lovering,Band Member,Drums
Surfer Rosa,Steve Albini,Production or Other,Production, audio engineering
Doolittle,Gil Norton,Production or Other,Producer and audio engineer
Collector of Cactus Echo Bags,Jeremy Jacobsen,Band Member,Acoustic Guitar, Electric Guitar, Synthesizer, Organ, Drums, Percussion, Marimba, Vibraphone, Toy Piano, Chord Organ, Melodica, Steel Drum, Samples, Piano, Vocals
Collector of Cactus Echo Bags,Andy Bryant,Production or Other,Recording
Forms and Follies,Jeremy Jacobsen,Band Member,None specified
Forms and Follies,Nick Macri,Guest Musician,Bass10, 12)
Immediate Action,John Herndon,Band Member,None specified
Soldier of Fortune,Ken Brown (Bundy K.),Band Member,None specified
I,Neil Sandler,Band Member,Bass
I,Kevin J. Frank,Band Member,Guitar, Vocals
I,Scott 'Gub' Conway (Scott Conway),Band Member,Guitar, Vocals
I,Ryan Rapsys,Band Member,Drums
fa.ce (a,Chris Rosenau,Band Member,Acoustic Guitar, Acoustic Elbow Guitar, Lap Steel, Miscellaneous Noises, Assembly, Manipulation, Akai Headrush, Keyboard, Steel Drums, Portamento Piano, Electric Guitar
fa.ce (a,Jon Mueller,Band Member,Drums, Percussion
fa.ce (a,Eric Mehlenbeck,Guest Musician,Bass1)
fa.ce (a,Donny Mahlmeister,Guest Musician,Acoustic Guitar1, 6, 7 Rhodes1, 7 Electric Guitar3 Wurlitzer3 Casio Keyboard3, 8 Programming7)
Morehappyness,Frank Navin,Band Member,Synthesizers, Keyboards, Vocals, Guitar, Piano
Morehappyness,John Navin,Band Member,Vocals, Guitar, Synthesizer
Morehappyness,Cynthia Albritton (Cynthia Plaster Caster),Guest Musician,Vocals1)
Morehappyness,Jeremy Jacobsen,Guest Musician,Piano1)
Morehappyness,John McEntire,Guest Musician,Synthesizer1, 2, 3, 4, 5, 8, 9, 10 Drums1, 5, 6, 7, 8 Tambourine1, 2, 5, 6, 8 Drums3 Acoustic Bass3 Percussion4 Stylophone4 Celeste5 Bass7)
Morehappyness,Bill Loman,Guest Musician,Bass8, 9, 10)
Morehappyness,Sam Prekop,Guest Musician,Guitar2 Vocals2)
Morehappyness,Douglas McCombs,Guest Musician,Bass2, 8)
Morehappyness,John Herndon,Guest Musician,Drums2)
Morehappyness,John Ridenour,Guest Musician,Bass6 Guitar6, 8)
Morehappyness,Tim Iseler,Production or Other,Recording
Morehappyness,Mikael Jorgensen,Production or Other,Recording
