album,artist,role,contribution
Brand New by Tomorrow,Jim Keltner,null,null
Brand New by Tomorrow,Unknown Unknown (Cava),null,null
Brand New by Tomorrow,Donny Whitbeck,null,null
Brand New by Tomorrow,Danny Frankel,null,null
Brand New by Tomorrow,Pedro Yanowitz,null,null
Brand New by Tomorrow,Ryan Feves,null,null
Brand New by Tomorrow,Garrett Dutton (G. Love),null,null
Brand New by Tomorrow,Seth Zwerling (Seth Swerling),null,null
Butter 08,Russell Simins,null,null
Butter 08,Miho Hatori,null,null
Butter 08,Yuka Honda,null,null
Butter 08,Rick Lee,null,null
Butter 08,Mike Mills,null,null
Butter 08,Jamie Staub (Jamey Staub),null,null
Butter 08,Sean Lennon,null,null
Butter 08,Timo Ellis,null,null
Butter 08,Josh Roseman,null,null
Butter 08,Ravi Best,null,null
Butter 08,Evan Bernard,null,null
Sad Sappy Sucker,John Wickhart,null,null
Sad Sappy Sucker,Dann Gallucci,null,null
Sad Sappy Sucker,Jeremiah Green,null,null
Sad Sappy Sucker,Isaac Brock,null,null
Sad Sappy Sucker,Calvin Johnson,null,null
This Is a Long Drive for Someone with Nothing to Think About,Scott Swayze,null,null
This Is a Long Drive for Someone with Nothing to Think About,Nicole Johnson,null,null
This Is a Long Drive for Someone with Nothing to Think About,Brent Arnold,null,null
This Is a Long Drive for Someone with Nothing to Think About,Eric Judy,null,null
This Is a Long Drive for Someone with Nothing to Think About,Steve Wold,null,null
This Is a Long Drive for Someone with Nothing to Think About,Calvin Johnson,null,null
This Is a Long Drive for Someone with Nothing to Think About,Isaac Brock,null,null
This Is a Long Drive for Someone with Nothing to Think About,Jeremiah Green,null,null
The Lonesome Crowded West,Phil Ek,null,null
The Lonesome Crowded West,Chris Setton,null,null
The Lonesome Crowded West,Tyler Reilly,null,null
The Lonesome Crowded West,Isaac Brock,null,null
The Lonesome Crowded West,Jeremiah Green,null,null
The Lonesome Crowded West,Eric Judy,null,null
The Lonesome Crowded West,Dann Gallucci,null,null
The Lonesome Crowded West,Scott Swayze,null,null
The Lonesome Crowded West,Nicole Johnson,null,null
The Lonesome Crowded West,Calvin Johnson,null,null
Building Nothing Out of Something,Isaac Brock,null,null
Building Nothing Out of Something,Jeremiah Green,null,null
Building Nothing Out of Something,Eric Judy,null,null
Building Nothing Out of Something,Nicole Johnson,null,null
Building Nothing Out of Something,Dann Gallucci,null,null
Building Nothing Out of Something,Steve Wold,null,null
Building Nothing Out of Something,Calvin Johnson,null,null
Building Nothing Out of Something,Phil Ek,null,null
The Moon & Antarctica,Brian Deck,null,null
The Moon & Antarctica,Isaac Brock,null,null
The Moon & Antarctica,Jeremiah Green,null,null
The Moon & Antarctica,Eric Judy,null,null
The Moon & Antarctica,Greg Ratajczak,null,null
The Moon & Antarctica,Phil Ek,null,null
The Moon & Antarctica,Ben Blankenship,null,null
The Moon & Antarctica,Tyler Reilly,null,null
The Moon & Antarctica,Ben Massarella,null,null
The Moon & Antarctica,Tim Rutili,null,null
The Moon & Antarctica,Chiyoko Yoshida,null,null
Everywhere and His Nasty Parlour Tricks,Isaac Brock,null,null
Everywhere and His Nasty Parlour Tricks,Jeremiah Green,null,null
Everywhere and His Nasty Parlour Tricks,Eric Judy,null,null
Everywhere and His Nasty Parlour Tricks,Ben Blankenship,null,null
Everywhere and His Nasty Parlour Tricks,Ben Massarella,null,null
Everywhere and His Nasty Parlour Tricks,Tim Rutili,null,null
Everywhere and His Nasty Parlour Tricks,Tyler Reilly,null,null
Everywhere and His Nasty Parlour Tricks,Phil Ek,null,null
Everywhere and His Nasty Parlour Tricks,188,null,null
Everywhere and His Nasty Parlour Tricks,Dan Traeger,null,null
Good News for People Who Love Bad News,Isaac Brock,null,null
Good News for People Who Love Bad News,Eric Judy,null,null
Good News for People Who Love Bad News,Dann Gallucci,null,null
Good News for People Who Love Bad News,Benjamin Weikel,null,null
Good News for People Who Love Bad News,Dennis Herring,null,null
Good News for People Who Love Bad News,Tom Peloso,null,null
Good News for People Who Love Bad News,Jacquire King,null,null
Good News for People Who Love Bad News,Clay Jones,null,null
Good News for People Who Love Bad News,Stuart Sikes,null,null
Float On,Isaac Brock,null,null
Float On,Dann Gallucci,null,null
Float On,Eric Judy,null,null
Float On,Benjamin Weikel,null,null
Float On,Dennis Herring,null,null
Float On,Jacquire King,null,null
Float On,Clay Jones,null,null
Live in Chicago,Jeremy Boyle,null,null
Live in Chicago,Tim Kinsella,null,null
Live in Chicago,Todd Mattei,null,null
Live in Chicago,Casey Rice,null,null
Live in Chicago,Elliot Dicks,null,null
Live in Chicago,Scott Adamson,null,null
Live in Chicago,Bob Akai,null,null
Live in Chicago,Nathaniel Braddock,null,null
Live in Chicago,Kevin J. Frank,null,null
Live in Chicago,Mike Kinsella,null,null
Live in Chicago,Noel Kupersmith,null,null
Live in Chicago,Ryan Rapsys,null,null
Live in Chicago,Chris Warland,null,null
Live in Chicago,Jen Wood,null,null
Plastic Fang,Jon Spencer,null,null
Plastic Fang,Judah Bauer,null,null
Plastic Fang,Russell Simins,null,null
Plastic Fang,Steve Jordan,null,null
Plastic Fang,Malcolm John Rebennack Jr. (Dr. John),null,null
Plastic Fang,Bernie Worrell,null,null
Plastic Fang,Willie Weeks,null,null
Plastic Fang,Don Smith,null,null
Camoufleur,David Grubbs,null,null
Camoufleur,Jim O'Rourke,null,null
Camoufleur,Markus Popp,null,null
Camoufleur,Jeb Bishop,null,null
Camoufleur,Steve Butters,null,null
Camoufleur,Edith Frost,null,null
Camoufleur,Darin Gray,null,null
Camoufleur,Maureen Loughnane,null,null
Camoufleur,Rob Mazurek,null,null
Camoufleur,John McEntire,null,null
Camoufleur,Julie Pomerleau,null,null
Camoufleur,Stephen Prina,null,null
Camoufleur,Jeremy Ronkin,null,null
Camoufleur,Ken Vandermark,null,null
Camoufleur,Phil Bonnet,null,null
Now I Got Worry,Jon Spencer,null,null
Now I Got Worry,Judah Bauer,null,null
Now I Got Worry,Russell Simins,null,null
Now I Got Worry,Jim Waters,null,null
Now I Got Worry,Saylor Breckenridge,null,null
Now I Got Worry,Davis McCain,null,null
Now I Got Worry,Doug Easley,null,null
Now I Got Worry,Mario Caldato Jr.,null,null
Now I Got Worry,Mark Ramos-Nishita (Money Mark),null,null
Now I Got Worry,Rufus Thomas,null,null
Now I Got Worry,Justin Berry,null,null
Now I Got Worry,Thermos Malling,null,null
Orange,Jon Spencer,null,null
Orange,Judah Bauer,null,null
Orange,Russell Simins,null,null
Orange,Jim Waters,null,null
Extra Width,Jon Spencer,null,null
Extra Width,Russell Simins,null,null
Extra Width,Judah Bauer,null,null
Extra Width,Doug Easley,null,null
Extra Width,Davis McCain,null,null
Extra Width,Jim Waters,null,null
Public Places,Russell Simins,null,null
Public Places,Jamie Staub (Jamey Staub),null,null
Public Places,Rick Lee,null,null
Public Places,Vivien Trimble,null,null
Public Places,Chris Shaw,null,null
Public Places,Peter Phillips (Pete Rock),null,null
Public Places,Dave Harrington,null,null
Public Places,Eric Tew,null,null
Public Places,Mike Mills,null,null
Public Places,Danny Madorsky,null,null
Public Places,Bijou Phillips,null,null
Public Places,Chynna Phillips,null,null
Public Places,Miho Hatori,null,null
Public Places,Michael Diamond (Mike D),null,null
The Jon Spencer Blues Explosion,Jon Spencer,null,null
The Jon Spencer Blues Explosion,Judah Bauer,null,null
The Jon Spencer Blues Explosion,Russell Simins,null,null
The Jon Spencer Blues Explosion,Kurt Hoffman,null,null
The Jon Spencer Blues Explosion,John Linnell,null,null
The Jon Spencer Blues Explosion,Frank London,null,null
The Jon Spencer Blues Explosion,Steve Albini,null,null
The Jon Spencer Blues Explosion,Mark Kramer,null,null
Repeater + 3 Songs,Guy Picciotto,null,null
Repeater + 3 Songs,Ian MacKaye,null,null
Repeater + 3 Songs,Joe Lally,null,null
Repeater + 3 Songs,Brendan Canty,null,null
Repeater + 3 Songs,Ted Nicely,null,null
Repeater + 3 Songs,Don Zientara,null,null
In on the Kill Taker,Ted Nicely,null,null
In on the Kill Taker,Don Zientara,null,null
In on the Kill Taker,Guy Picciotto,null,null
In on the Kill Taker,Ian MacKaye,null,null
In on the Kill Taker,Joe Lally,null,null
In on the Kill Taker,Brendan Canty,null,null
Red Medicine,Guy Picciotto,null,null
Red Medicine,Ian MacKaye,null,null
Red Medicine,Joe Lally,null,null
Red Medicine,Brendan Canty,null,null
Red Medicine,Don Zientara,null,null
End Hits,Guy Picciotto,null,null
End Hits,Ian MacKaye,null,null
End Hits,Joe Lally,null,null
End Hits,Brendan Canty,null,null
End Hits,Don Zientara,null,null
The Argument,Brendan Canty,null,null
The Argument,Guy Picciotto,null,null
The Argument,Ian MacKaye,null,null
The Argument,Joe Lally,null,null
The Argument,Don Zientara,null,null
The Argument,Chad Clark,null,null
The Argument,Jerry Busher,null,null
The Argument,Bridget Cross,null,null
The Argument,Kathi Wilcox,null,null
The Argument,Amy Domingues,null,null
Dry,Polly Jean Harvey,null,null
Dry,Stephen Vaughan,null,null
Dry,Robert Ellis,null,null
Dry,Unknown Unknown Head,null,null
Dry,Ian Olliver,null,null
Dry,Ben Groenevelt,null,null
Dry,Mike Paine,null,null
Dry,Chas Dickie,null,null
Rid of Me,Polly Jean Harvey,null,null
Rid of Me,Robert Ellis,null,null
Rid of Me,Stephen Vaughan,null,null
Rid of Me,Steve Albini,null,null
Rid of Me,Unknown Unknown Head,null,null
Believo!,Rick Lee,null,null
Believo!,Steve Calhoon,null,null
Believo!,John Schmersal,null,null
Believo!,Dylan Willemsa,null,null
Believo!,Andres Levin,null,null
Believo!,Greg Gordon,null,null
Believo!,Dave Sardy (D. Sardy),null,null
High Society,Rick Lee,null,null
High Society,John Schmersal,null,null
High Society,Matt Schulz,null,null
High Society,Toko Yasuda,null,null
High Society,Dave Sardy (D. Sardy),null,null
High Society,Greg Gordon,null,null
High Society,Eli Janney,null,null
High Society,Carl Glanville,null,null
High Society,Dylan Willemsa,null,null
High Society,Jesse Dulman,null,null
High Society,Craig Dryer,null,null
Hocus-Pocus,John Schmersal,null,null
Hocus-Pocus,Matt Schulz,null,null
Hocus-Pocus,Toko Yasuda,null,null
Hocus-Pocus,Greg Gordon,null,null
Hocus-Pocus,Kari Erickson,null,null
Hocus-Pocus,Dylan Willemsa,null,null
United by Fate,Sam Siegler,null,null
United by Fate,Cache Tolman,null,null
United by Fate,Ian Love,null,null
United by Fate,Walter Schreifels,null,null
United by Fate,Gary Tole,null,null
United by Fate,Luke Ebbin,null,null
Manic Compression,Walter Schreifels,null,null
Manic Compression,Sergio Vega,null,null
Manic Compression,Alan Cage,null,null
Manic Compression,Tom Capone,null,null
Manic Compression,Wharton Tiers,null,null
Manic Compression,Don Fury,null,null
Wolves with Pretty Lips,Tony Rolando,null,null
Wolves with Pretty Lips,Alianna Kalaba,null,null
Wolves with Pretty Lips,Colleen Burke,null,null
Wolves with Pretty Lips,John Congleton,null,null
The Secondmans Middle Stand,Mike Watt,null,null
The Secondmans Middle Stand,Jerry Trebotic,null,null
The Secondmans Middle Stand,Petra Haden,null,null
The Secondmans Middle Stand,Pete Mazich,null,null
The Secondmans Middle Stand,Michael Rich,null,null
Contemplating the Engine Room,Mike Watt,null,null
Contemplating the Engine Room,Nels Cline,null,null
Contemplating the Engine Room,Stephen Hodges,null,null
Contemplating the Engine Room,Rob Seifert,null,null
Ball-Hog or Tugboat?,Mike Watt,null,null
Ball-Hog or Tugboat?,John Hanlon,null,null
Ball-Hog or Tugboat?,David Kahne,null,null
Ball-Hog or Tugboat?,Rob Seifert,null,null
Ball-Hog or Tugboat?,Dave Grohl,null,null
Ball-Hog or Tugboat?,Nels Cline,null,null
Ball-Hog or Tugboat?,Eddie Vedder,null,null
Ball-Hog or Tugboat?,J Mascis,null,null
Ball-Hog or Tugboat?,Cris Kirkwood,null,null
Ball-Hog or Tugboat?,Curt Kirkwood,null,null
Ball-Hog or Tugboat?,Gary (Lee) Conner,null,null
Ball-Hog or Tugboat?,Krist Novoselic,null,null
Ball-Hog or Tugboat?,Carla Bozulich,null,null
Ball-Hog or Tugboat?,Michael Preussner,null,null
Ball-Hog or Tugboat?,Joe Baiza,null,null
Ball-Hog or Tugboat?,Danny Frankel,null,null
Ball-Hog or Tugboat?,Paul Roessler,null,null
Ball-Hog or Tugboat?,Unknown Unknown (Spot),null,null
Ball-Hog or Tugboat?,Bob Lee,null,null
Ball-Hog or Tugboat?,Zander Schloss,null,null
Ball-Hog or Tugboat?,John Strohm,null,null
Ball-Hog or Tugboat?,Anna Waronker,null,null
Ball-Hog or Tugboat?,Petra Haden,null,null
Ball-Hog or Tugboat?,Rachel Haden,null,null
Ball-Hog or Tugboat?,Charles Thompson IV (Frank Black),null,null
Ball-Hog or Tugboat?,Keith McCaw,null,null
Ball-Hog or Tugboat?,Stephen Perkins,null,null
Ball-Hog or Tugboat?,Thurston Moore,null,null
Ball-Hog or Tugboat?,Lee Ranaldo,null,null
Ball-Hog or Tugboat?,Steve Shelley,null,null
Ball-Hog or Tugboat?,Henry Rollins,null,null
Ball-Hog or Tugboat?,Wayne Griffin,null,null
Ball-Hog or Tugboat?,Unknown Unknown (Butler),null,null
Ball-Hog or Tugboat?,Mark Lanegan,null,null
Ball-Hog or Tugboat?,Brock Avery,null,null
Ball-Hog or Tugboat?,Todd Rigione,null,null
Ball-Hog or Tugboat?,Michael Diamond (Mike D),null,null
Ball-Hog or Tugboat?,Tony Atherton,null,null
Ball-Hog or Tugboat?,Coco (Hayley Gordon) Moore,null,null
Ball-Hog or Tugboat?,Michael Peter Balzary (Flea),null,null
Ball-Hog or Tugboat?,John Molo,null,null
Ball-Hog or Tugboat?,Vince Meghrouni,null,null
Ball-Hog or Tugboat?,Pat Smear,null,null
Ball-Hog or Tugboat?,Dave Pirner,null,null
Ball-Hog or Tugboat?,Tiffany Anders,null,null
Ball-Hog or Tugboat?,Richie West,null,null
Ball-Hog or Tugboat?,Kathleen Hanna,null,null
Ball-Hog or Tugboat?,Bernie Worrell,null,null
Ball-Hog or Tugboat?,Adam Horovitz (Ad-Rock),null,null
Ball-Hog or Tugboat?,Ronda Rindone,null,null
Ball-Hog or Tugboat?,Mario Caldato Jr.,null,null
Ball-Hog or Tugboat?,Tony Maxwell,null,null
The Advantage,Spencer Seim,null,null
The Advantage,Ben Milner,null,null
The Advantage,Nick Rogers,null,null
The Advantage,Carson McWhirter,null,null
Elf Titled,Spencer Seim,null,null
Elf Titled,Ben Milner,null,null
Elf Titled,Carson McWhirter,null,null
Elf Titled,Robby Moncrieff,null,null
Elf Titled,Antreo Pukay,null,null
I Sold Gold,David Terry,null,null
I Sold Gold,Matt Pence,null,null
I Sold Gold,Andrew Rudd,null,null
I Sold Gold,James McAlister,null,null
I Sold Gold,Jason Holstrom,null,null
I Sold Gold,Trent Bell,null,null
Or Give Me Death,David Terry,null,null
Or Give Me Death,Matt Pence,null,null
Or Give Me Death,Jason Holstrom,null,null
Or Give Me Death,Charlie Smith,null,null
Or Give Me Death,Justin Wilmore,null,null
Or Give Me Death,Matthew Nader,null,null
Or Give Me Death,Paris Hurley,null,null
Or Give Me Death,Brianna Atwell,null,null
Or Give Me Death,Dylan Rieck,null,null
Or Give Me Death,Evan (Flory) Barnes,null,null
Or Give Me Death,Galen Green,null,null
Or Give Me Death,Jay Roulston,null,null
Or Give Me Death,Chris Stover,null,null
Electric Rock Music,Randy Cheek,null,null
Electric Rock Music,Chuck Cleaver,null,null
Electric Rock Music,John Erhardt,null,null
Electric Rock Music,David Morrison,null,null
Electric Rock Music,John Curley,null,null
Electric Rock Music,Steve Girton,null,null
The Known Universe,Bill Alletzhauser,null,null
The Known Universe,Steve Girton,null,null
The Known Universe,John Curley,null,null
The Known Universe,David Morrison,null,null
The Known Universe,Chuck Cleaver,null,null
The Known Universe,Randy Cheek,null,null
The Known Universe,Jack Ison,null,null
Seasick,Will Schwartz,null,null
Seasick,Roddy Bottum,null,null
Seasick,Lynn Perko,null,null
Seasick,Jone Stebbins,null,null
Seasick,Richard Mouser,null,null
Seasick,Daniel Presley,null,null
Seasick,Norm Kerner,null,null
Seasick,Steve McDonald,null,null
What Is Not to Love,Mickey Petralia,null,null
What Is Not to Love,Greg Freeman,null,null
What Is Not to Love,Matt Kelley,null,null
What Is Not to Love,Matt Wallace,null,null
What Is Not to Love,Mark Saunders,null,null);
What Is Not to Love,Mark Freegard,null,null
What Is Not to Love,Will Schwartz,null,null
What Is Not to Love,Roddy Bottum,null,null
What Is Not to Love,Lynn Perko,null,null
What Is Not to Love,Jone Stebbins,null,null
Live at Maxwells,Alex Kokollo,null,null
Live at Maxwells,Jone Stebbins,null,null
Live at Maxwells,Lynn Perko,null,null
Live at Maxwells,Roddy Bottum,null,null
Live at Maxwells,Will Schwartz,null,null
Are You Driving Me Crazy?,Reg Schrader,null,null
Are You Driving Me Crazy?,William Shin,null,null
Are You Driving Me Crazy?,Sooyoung Park,null,null
Are You Driving Me Crazy?,Chris Manfrin,null,null
Are You Driving Me Crazy?,Brad Wood,null,null
Are You Driving Me Crazy?,Casey Rice,null,null
Are You Driving Me Crazy?,Ken Brown (Bundy K.),null,null
Are You Driving Me Crazy?,Julie Liu,null,null
Youd Prefer an Astronaut,Matt Talbot,null,null
Youd Prefer an Astronaut,Bryan St. Pere,null,null
Youd Prefer an Astronaut,Tim Lash,null,null
Youd Prefer an Astronaut,Jeff Dimpsey,null,null
Youd Prefer an Astronaut,Keith Cleversley,null,null
Youd Prefer an Astronaut,Adam Schmitt,null,null
Downward Is Heavenward,Jeff Dimpsey,null,null
Downward Is Heavenward,Matt Talbot,null,null
Downward Is Heavenward,Bryan St. Pere,null,null
Downward Is Heavenward,Tim Lash,null,null
Downward Is Heavenward,Mark Rubel,null,null
Electra 2000,Brad Wood,null,null
Electra 2000,Jeff Dimpsey,null,null
Electra 2000,Matt Talbot,null,null
Electra 2000,Bryan St. Pere,null,null
Electra 2000,Tim Lash,null,null
Downward Is Heavenward,Brian Malouf,null,null
Liar,David Yow,null,null
Liar,David (Wm.) Sims,null,null
Liar,Mac McNeilly,null,null
Liar,Duane Denison,null,null
Down,David Yow,null,null
Down,David (Wm.) Sims,null,null
Down,Mac McNeilly,null,null
Down,Duane Denison,null,null
Down,Steve Albini,null,null
Down,Robert Weston IV (Bob Weston),null,null
Shot,Joe Barresi,null,null
Shot,Jaff Lane,null,null
Shot,Garth Richardson (GGGarth),null,null
Shot,David Yow,null,null
Shot,David (Wm.) Sims,null,null
Shot,Mac McNeilly,null,null
Shot,Duane Denison,null,null
The Jesus Lizard,John Cale,null,null
The Jesus Lizard,Jack Wall,null,null
The Jesus Lizard,Andy Gill,null,null
The Jesus Lizard,Jim O'Rourke,null,null
The Jesus Lizard,Jaff Lane,null,null
The Jesus Lizard,Joe Barresi,null,null
The Jesus Lizard,James Kimball,null,null
The Jesus Lizard,David Yow,null,null
The Jesus Lizard,David (Wm.) Sims,null,null
The Jesus Lizard,Duane Denison,null,null
Life Begins Again,Jimmy Chamberlin,null,null
Life Begins Again,Billy Mohler,null,null
Life Begins Again,Sean Woolstenhulme,null,null
Life Begins Again,Adam Benjamin,null,null
Life Begins Again,Rob Dickinson,null,null
Life Begins Again,William Patrick Corgan (Billy Corgan),null,null
Life Begins Again,Bill Medley,null,null
Life Begins Again,Paul Chamberlin,null,null
Life Begins Again,Corey Wilton,null,null
Life Begins Again,Linda Strawberry,null,null
Life Begins Again,Becca Popkin,null,null
Life Begins Again,Tom Rothrock,null,null
Life Begins Again,Edmund Monsef,null,null
Apropat,Guillermo (Scott) Herren,null,null
Apropat,Eva (Puyuelo) Muns,null,null
Apropat,John Herndon,null,null
Apropat,Joshua Abrams,null,null
Apropat,Dave Max Crawford,null,null
Apropat,Paul Mertens,null,null
Apropat,Azita Youssefi,null,null
Apropat,John McEntire,null,null
Googler,Tim Furnish,null,null
Googler,Simon Furnish,null,null
Googler,Connor Bell,null,null
Googler,Tony Bailey,null,null
Googler,Todd Cook,null,null
Googler,Will Hancock,null,null
Googler,Todd Hancock,null,null
Googler,Paul Oldham,null,null
Variegated,Kyle Crabtree,null,null
Variegated,Jason Noble,null,null
Variegated,Jeff Mueller,null,null
Variegated,Christian Frederickson,null,null
Landfalls and Departures,Robert (J.) Winkle,null,null
Landfalls and Departures,Kat Caitheamer,null,null
Landfalls and Departures,John (M.) Rejba,null,null
Landfalls and Departures,Brandon (L.) Butler,null,null
Landfalls and Departures,John (D.) Anderson,null,null
Landfalls and Departures,Robert Weston IV (Bob Weston),null,null
Frame and Canvas,Todd Bell,null,null
Frame and Canvas,Damon Atkinson,null,null
Frame and Canvas,Christopher Broach (Chris Broach),null,null
Frame and Canvas,Robert Nanna,null,null
Frame and Canvas,James Robbins (J. Robbins),null,null
Movie Music Vol. 1,Robert Nanna,null,null
Movie Music Vol. 1,Christopher Broach (Chris Broach),null,null
Movie Music Vol. 1,Todd Bell,null,null
Movie Music Vol. 1,Roy (D.) Ewing,null,null
Movie Music Vol. 1,Damon Atkinson,null,null
Movie Music Vol. 1,Andrew Bedinni,null,null
Movie Music Vol. 1,Brendan Gamble,null,null
Movie Music Vol. 1,Steven Lamos,null,null
Movie Music Vol. 1,Lynn Canfield,null,null
Movie Music Vol. 1,Brian Shortall,null,null
Movie Music Vol. 1,Mark Haines,null,null
Movie Music Vol. 2,Todd Bell,null,null
Movie Music Vol. 2,Robert Nanna,null,null
Movie Music Vol. 2,Christopher Broach (Chris Broach),null,null
Movie Music Vol. 2,Roy (D.) Ewing,null,null
Movie Music Vol. 2,Damon Atkinson,null,null
Movie Music Vol. 2,Andrew Bedinni,null,null
Movie Music Vol. 2,Brendan Gamble,null,null
Movie Music Vol. 2,Kate Reuss,null,null
Movie Music Vol. 2,Pete Havranek,null,null
Movie Music Vol. 2,Sean O'Brien,null,null
Movie Music Vol. 2,Tom Zaluckyj,null,null
Movie Music Vol. 2,Mark Doe,null,null
Movie Music Vol. 2,Mark Scott Macpherson,null,null
Movie Music Vol. 2,Mark Pantsman,null,null
Movie Music Vol. 2,Mark Mcmarker,null,null
Movie Music Vol. 2,Eric Atkinson,null,null
Movie Music Vol. 2,Erin Keegan,null,null
Movie Music Vol. 2,Mark Whitcomb,null,null
Movie Music Vol. 2,Mark Haines,null,null
Movie Music Vol. 2,Jay Lasion,null,null
‘Very Soon, and in Pleasant Company’,Kyle Crabtree,null,null
‘Very Soon, and in Pleasant Company’,Jeff Mueller,null,null
‘Very Soon, and in Pleasant Company’,Jason Noble,null,null
‘Very Soon, and in Pleasant Company’,Christian Frederickson,null,null
‘Very Soon, and in Pleasant Company’,Edward Grimes,null,null
Hoffman Estates,Alan Licht,null,null
Hoffman Estates,Loren Mzzacane-Connors,null,null
Hoffman Estates,Joshua Abrams,null,null
Hoffman Estates,Jeb Bishop,null,null
Hoffman Estates,Mike Colligan,null,null
Hoffman Estates,Kevin Drumm,null,null
Hoffman Estates,Darin Gray,null,null
Hoffman Estates,Rob Mazurek,null,null
Hoffman Estates,Rick Rizzo,null,null
Hoffman Estates,Jim O'Rourke,null,null
Hoffman Estates,Chad Taylor,null,null
Hoffman Estates,Ken Vandermark,null,null
National Skyline,Jeff Garber,null,null
National Skyline,Jeff Dimpsey,null,null
Lucky to Be Alive,Robert Nanna,null,null
Lucky to Be Alive,Todd Bell,null,null
Lucky to Be Alive,Damon Atkinson,null,null
Lucky to Be Alive,Christopher Broach (Chris Broach),null,null
Gold,Casey Ward,null,null
Gold,Roger Levy,null,null
Gold,Bevin Kelly,null,null
Gold,Jillian Iva,null,null
Gold,Matt Hall,null,null
Gold,Tim Soete,null,null
Gold,Tim Green,null,null
Gold,Philip Manley,null,null
Gold,Nathan Means,null,null
Gold,Jon Theodore,null,null
Gold,Sebastian Thomson,null,null
VI,Tim Soete,null,null
VI,Philip Manley,null,null
VI,Tim Green,null,null
VI,Gregg Turkington (Neil Hamburger),null,null
VI,Adria Otte,null,null
VI,Jackie Perez-Gratz,null,null
Everynight Fire Works,Damon Atkinson,null,null
Everynight Fire Works,Todd Bell,null,null
Everynight Fire Works,Mark Dawursk,null,null
Everynight Fire Works,Robert Nanna,null,null
Everynight Fire Works,James Robbins (J. Robbins),null,null
Everynight Fire Works,Mark Haines,null,null
Everynight Fire Works,Christine Lubarsky,null,null
University,Kristen Hersh,null,null
University,David Narcizo,null,null
University,Bernard Georges,null,null
House Tornado/The Fat Skier,Kristen Hersh,null,null
House Tornado/The Fat Skier,Tanya Donelly,null,null
House Tornado/The Fat Skier,Leslie Langston,null,null
House Tornado/The Fat Skier,Paul (Q.) Kolderie,null,null
House Tornado/The Fat Skier,David Narcizo,null,null
Red Heaven,Kristen Hersh,null,null
Red Heaven,David Narcizo,null,null
Red Heaven,Leslie Langston,null,null
Red Heaven,Bob Mould,null,null
The Real Ramona,Fred Abong,null,null
The Real Ramona,Tanya Donelly,null,null
The Real Ramona,Kristen Hersh,null,null
The Real Ramona,David Narcizo,null,null
Throwing Muses,Tanya Donelly,null,null
Throwing Muses,Kristen Hersh,null,null
Throwing Muses,David Narcizo,null,null
Throwing Muses,Leslie Langston,null,null
Throwing Muses,Gil Norton,null,null
Limbo,Kristen Hersh,null,null
Limbo,David Narcizo,null,null
Limbo,Bernard Georges,null,null
Limbo,Robert Rust,null,null
Limbo,Martin McCarrick,null,null
50 Foot Wave,Kristen Hersh,null,null
50 Foot Wave,Bernard Georges,null,null
50 Foot Wave,Rob Ahlers,null,null
50 Foot Wave,Ethan Allen,null,null
50 Foot Wave,James (Adam) Watts,null,null
Golden Ocean,James (Adam) Watts,null,null
Golden Ocean,Ethan Allen,null,null
Golden Ocean,Kristen Hersh,null,null
Golden Ocean,Bernard Georges,null,null
Golden Ocean,Rob Ahlers,null,null
Collaborations,Jim O'Rourke,null,null
Collaborations,Curtis Harvey,null,null
Collaborations,Adam Pierce,null,null
Collaborations,Nobukazu Takemura,null,null
Collaborations,Aki Tsuyuko,null,null
Collaborations,Doug Scharin,null,null)
